date,open,high,low,close,volume
2024-01-01,100.30,101.30,99.20,100.20,1000000
2024-01-02,100.55,101.56,99.49,100.50,1001000
2024-01-03,100.85,101.90,99.84,100.89,1002000
2024-01-04,101.28,102.39,100.26,101.38,1003000
2024-01-05,101.87,102.95,100.85,101.94,1004000
2024-01-08,102.58,103.61,101.53,102.56,1005000
2024-01-09,103.32,104.35,102.19,103.22,1006000
2024-01-10,103.99,105.03,102.88,103.91,1007000
2024-01-11,104.60,105.66,103.55,104.61,1008000
2024-01-12,105.21,106.35,104.15,105.30,1009000
2024-01-15,105.87,107.02,104.81,105.96,1010000
2024-01-16,106.56,107.63,105.49,106.56,1011000
2024-01-17,107.19,108.26,106.03,107.10,1012000
2024-01-18,107.65,108.73,106.48,107.56,1013000
2024-01-19,107.94,109.02,106.84,107.92,1014000
2024-01-22,108.11,109.28,107.03,108.19,1015000
2024-01-23,108.26,109.45,107.18,108.36,1016000
2024-01-24,108.41,109.52,107.32,108.44,1017000
2024-01-25,108.49,109.57,107.33,108.42,1018000
2024-01-26,108.42,109.50,107.23,108.31,1019000
2024-01-29,108.18,109.26,107.05,108.13,1020000
2024-01-30,107.84,108.97,106.76,107.90,1021000
2024-01-31,107.51,108.70,106.44,107.62,1022000
2024-02-01,107.27,108.40,106.19,107.32,1023000
2024-02-02,107.07,108.14,105.95,107.02,1024000
2024-02-05,106.85,107.92,105.68,106.75,1025000
2024-02-06,106.57,107.64,105.44,106.50,1026000
2024-02-07,106.29,107.38,105.22,106.32,1027000
2024-02-08,106.10,107.26,105.04,106.20,1028000
2024-02-09,106.09,107.23,105.03,106.17,1029000
2024-02-12,106.25,107.31,105.17,106.23,1030000
2024-02-13,106.49,107.55,105.32,106.39,1031000
2024-02-14,106.74,107.80,105.58,106.65,1032000
2024-02-15,107.00,108.07,105.93,107.00,1033000
2024-02-16,107.36,108.52,106.28,107.45,1034000
2024-02-19,107.88,109.06,106.80,107.98,1035000
2024-02-20,108.56,109.66,107.47,108.57,1036000
2024-02-21,109.31,110.40,108.13,109.22,1037000
2024-02-22,110.01,111.11,108.81,109.91,1038000
2024-02-23,110.64,111.74,109.50,110.61,1039000
2024-02-26,111.23,112.41,110.12,111.30,1040000
2024-02-27,111.86,113.09,110.74,111.97,1041000
2024-02-28,112.55,113.73,111.43,112.60,1042000
2024-02-29,113.23,114.36,112.03,113.17,1043000
2024-03-01,113.77,114.91,112.52,113.66,1044000
2024-03-04,114.12,115.27,112.92,114.06,1045000
2024-03-05,114.33,115.52,113.18,114.38,1046000
2024-03-06,114.48,115.73,113.33,114.59,1047000
2024-03-07,114.63,115.85,113.48,114.70,1048000
2024-03-08,114.75,115.90,113.57,114.72,1049000
2024-03-11,114.76,115.90,113.50,114.65,1050000
2024-03-12,114.58,115.73,113.35,114.50,1051000
2024-03-13,114.26,115.43,113.12,114.28,1052000
2024-03-14,113.92,115.16,112.78,114.02,1053000
2024-03-15,113.64,114.87,112.50,113.73,1054000
2024-03-18,113.43,114.57,112.30,113.43,1055000
2024-03-19,113.24,114.37,112.01,113.14,1056000
2024-03-20,112.98,114.11,111.75,112.88,1057000
2024-03-21,112.68,113.81,111.54,112.67,1058000
2024-03-22,112.44,113.65,111.31,112.52,1059000
2024-03-25,112.35,113.58,111.22,112.45,1060000
2024-03-26,112.45,113.60,111.32,112.48,1061000
2024-03-27,112.67,113.80,111.47,112.59,1062000
2024-03-28,112.92,114.05,111.68,112.81,1063000
2024-03-29,113.17,114.30,111.99,113.13,1064000
2024-04-01,113.47,114.67,112.34,113.54,1065000
2024-04-02,113.92,115.17,112.78,114.03,1066000
2024-04-03,114.54,115.75,113.40,114.60,1067000
2024-04-04,115.28,116.43,114.08,115.23,1068000
2024-04-05,116.02,117.18,114.74,115.90,1069000
2024-04-08,116.67,117.84,115.43,116.60,1070000
2024-04-09,117.26,118.47,116.09,117.30,1071000
2024-04-10,117.87,119.16,116.69,117.98,1072000
2024-04-11,118.54,119.81,117.36,118.63,1073000
2024-04-12,119.24,120.43,118.03,119.22,1074000
2024-04-15,119.86,121.06,118.55,119.75,1075000
2024-04-16,120.29,121.49,118.99,120.19,1076000
2024-04-17,120.54,121.75,119.33,120.54,1077000
2024-04-18,120.69,122.00,119.49,120.80,1078000
2024-04-19,120.84,122.16,119.63,120.95,1079000
2024-04-22,120.99,122.22,119.78,121.01,1080000
2024-04-23,121.06,122.27,119.76,120.97,1081000
2024-04-24,120.97,122.18,119.64,120.85,1082000
2024-04-25,120.69,121.90,119.45,120.66,1083000
2024-04-26,120.34,121.62,119.13,120.42,1084000
2024-04-29,120.02,121.34,118.82,120.14,1085000
2024-04-30,119.79,121.04,118.59,119.84,1086000
2024-05-01,119.61,120.81,118.35,119.54,1087000
2024-05-02,119.39,120.58,118.08,119.27,1088000
2024-05-03,119.09,120.29,117.84,119.03,1089000
