epoch,tr_loss,vl_loss,tr_f1,vl_f1,vl_roc_auc,vl_prob_min,vl_prob_mean,vl_prob_max,vl_prob_range,vl_pred_pos_rate,vl_true_pos_rate,lr
1,0.693514,0.692504,0.695652,0.686747,0.454453,0.532206,0.534696,0.537651,0.005446,1.0,0.522936,0.001
2,0.691231,0.694322,0.666667,0.686747,0.461876,0.553074,0.555426,0.558279,0.005204,1.0,0.522936,0.001
3,0.697984,0.697849,0.671429,0.686747,0.46525,0.573462,0.575789,0.578637,0.005175,1.0,0.522936,0.001
4,0.688027,0.702125,0.671329,0.686747,0.467949,0.59041,0.592738,0.595597,0.005187,1.0,0.522936,0.001
5,0.697201,0.704576,0.666667,0.686747,0.464238,0.598306,0.600685,0.60359,0.005284,1.0,0.522936,0.001
6,0.696735,0.704637,0.671233,0.686747,0.462888,0.598423,0.600848,0.603807,0.005384,1.0,0.522936,0.001
7,0.699129,0.704662,0.662162,0.686747,0.461201,0.598414,0.60089,0.603921,0.005507,1.0,0.522936,0.001
8,0.70808,0.703945,0.643357,0.686747,0.45749,0.596106,0.598605,0.601657,0.005551,1.0,0.522936,0.001
9,0.695823,0.702951,0.68,0.686747,0.460189,0.592832,0.595373,0.598437,0.005605,1.0,0.522936,0.001
10,0.691272,0.702295,0.647482,0.686747,0.464912,0.59063,0.593195,0.596272,0.005642,1.0,0.522936,0.001
11,0.684812,0.701243,0.697368,0.686747,0.46525,0.586947,0.589511,0.59254,0.005593,1.0,0.522936,0.001
12,0.704045,0.701543,0.693878,0.686747,0.467611,0.588075,0.590628,0.593614,0.005539,1.0,0.522936,0.001
13,0.693731,0.701765,0.685315,0.686747,0.465587,0.58883,0.591386,0.594329,0.005499,1.0,0.522936,0.001
14,0.700576,0.701512,0.684564,0.686747,0.460526,0.587786,0.590419,0.593424,0.005639,1.0,0.522936,0.001
15,0.705661,0.702401,0.684932,0.686747,0.454791,0.590764,0.593462,0.596498,0.005734,1.0,0.522936,0.001
16,0.696102,0.702697,0.697987,0.686747,0.45108,0.591606,0.594393,0.597474,0.005867,1.0,0.522936,0.001
17,0.707684,0.701628,0.684932,0.686747,0.444332,0.587655,0.590588,0.593755,0.0061,1.0,0.522936,0.001
18,0.709352,0.700423,0.680272,0.686747,0.44332,0.583058,0.586088,0.589269,0.006211,1.0,0.522936,0.001
19,0.701196,0.700605,0.701987,0.686747,0.440283,0.583737,0.586779,0.589881,0.006145,1.0,0.522936,0.001
20,0.683559,0.7007,0.684932,0.686747,0.439271,0.58402,0.587102,0.590192,0.006171,1.0,0.522936,0.001
21,0.703474,0.701478,0.689189,0.686747,0.439946,0.586836,0.589962,0.593019,0.006183,1.0,0.522936,0.001
22,0.698363,0.700497,0.706667,0.686747,0.44332,0.583182,0.586366,0.589417,0.006234,1.0,0.522936,0.001
23,0.71372,0.699565,0.671141,0.686747,0.445344,0.579515,0.582757,0.585752,0.006236,1.0,0.522936,0.001
24,0.713,0.699749,0.675862,0.686747,0.450067,0.580364,0.583602,0.586485,0.006121,1.0,0.522936,0.001
25,0.70645,0.700229,0.697987,0.686747,0.44973,0.58228,0.585523,0.588349,0.006069,1.0,0.522936,0.001
26,0.699307,0.70107,0.693333,0.686747,0.451417,0.585448,0.588721,0.591484,0.006035,1.0,0.522936,0.001
27,0.705221,0.70095,0.689189,0.686747,0.451417,0.58492,0.588276,0.591066,0.006146,1.0,0.522936,0.001
28,0.691437,0.701021,0.684932,0.686747,0.453779,0.585134,0.588571,0.591382,0.006247,1.0,0.522936,0.001
29,0.713683,0.701598,0.671233,0.686747,0.452767,0.587178,0.590686,0.593488,0.00631,1.0,0.522936,0.001
30,0.707949,0.701858,0.671329,0.686747,0.454116,0.588115,0.591655,0.5944,0.006285,1.0,0.522936,0.001
31,0.714461,0.701974,0.702703,0.686747,0.454791,0.588545,0.592085,0.594728,0.006184,1.0,0.522936,0.001
32,0.695426,0.702191,0.697987,0.686747,0.453779,0.589249,0.592816,0.595434,0.006185,1.0,0.522936,0.001
33,0.696983,0.702537,0.689189,0.686747,0.453779,0.590359,0.593992,0.596631,0.006272,1.0,0.522936,0.001
34,0.690456,0.702589,0.693333,0.686747,0.453779,0.590554,0.594198,0.596819,0.006266,1.0,0.522936,0.001
35,0.701351,0.702473,0.702703,0.686747,0.455128,0.590191,0.593851,0.596464,0.006272,1.0,0.522936,0.001
36,0.700815,0.702476,0.684564,0.686747,0.458165,0.590191,0.593914,0.596553,0.006362,1.0,0.522936,0.001
37,0.69582,0.703104,0.684564,0.686747,0.459852,0.592186,0.596026,0.598725,0.006539,1.0,0.522936,0.001
38,0.711408,0.70341,0.697368,0.686747,0.457827,0.593021,0.596972,0.599721,0.0067,1.0,0.522936,0.001
39,0.688244,0.703967,0.706667,0.686747,0.45749,0.594715,0.598758,0.601543,0.006828,1.0,0.522936,0.001
40,0.695454,0.704132,0.697987,0.686747,0.458502,0.595145,0.599277,0.602116,0.006971,1.0,0.522936,0.001
41,0.68951,0.704044,0.706667,0.686747,0.457827,0.594766,0.599016,0.601904,0.007138,1.0,0.522936,0.001
42,0.699674,0.703033,0.68,0.686747,0.457152,0.591427,0.595788,0.598723,0.007296,1.0,0.522936,0.001
43,0.700583,0.703238,0.675862,0.686747,0.458165,0.592031,0.596487,0.599458,0.007427,1.0,0.522936,0.001
44,0.711633,0.703125,0.688742,0.686747,0.461201,0.591637,0.596174,0.599177,0.007541,1.0,0.522936,0.001
45,0.692319,0.703369,0.697987,0.686747,0.461538,0.592372,0.596987,0.600036,0.007664,1.0,0.522936,0.001
46,0.694784,0.704333,0.688742,0.686747,0.462888,0.595401,0.600109,0.603222,0.007821,1.0,0.522936,0.001
47,0.695849,0.704841,0.697368,0.686747,0.467611,0.596919,0.601732,0.604911,0.007991,1.0,0.522936,0.001
48,0.696183,0.704601,0.697368,0.686747,0.468117,0.596127,0.601007,0.604205,0.008078,1.0,0.522936,0.001
49,0.702075,0.703822,0.693333,0.686747,0.469298,0.593688,0.598619,0.601835,0.008147,1.0,0.522936,0.001
50,0.708982,0.702825,0.684564,0.686747,0.472335,0.590417,0.595416,0.598651,0.008234,1.0,0.522936,0.001
